text,label,make,model,modelYear,crash,fire,numberOfInjuries,numberOfDeaths,n_words
ever since i purchased this car in 2014 intermittently but frequently -- when i am paused with foot on brake for example sitting in left turn lane or in freeway on-ramp waiting for a break in traffic when traffic opens up and i can go i step on the gas and the car barely responds moves forward very slowly rpms very low camry is in no hurry and the break in traffic is rapidly closing after 0 5 to 1 5 second delay always gets me nervous i stomp on the gas and finally camry rpms increase she downshifts and at last i take off but by this time i have almost been hit by somebody because the camry cannot get out of its own way complained to toyota dealer three times but they never found anything wrong this week took it to independent mechanic who looked it up online and discovered hundreds of similar complaints he told me that there is an aftermarket fix for this apexi p/n 417-a021 for 65 at and suggested i notify nhtsa and take this information to my toyota dealer and demand repair this is not my imagination this is known defect reported by many owners dangerous and repairable,ENGINE,toyota,CAMRY HV,2014,False,False,0,0,205
the engine failed and yes it s available for inspection upon request the safety of myself and my children were put at risk because i was driving on the highway and my car shut all the way down i had to safely get to the shoulder to pull over while maneuvering through high highway traffic the problem has been identified by the dealership and it has been in their possession for over a month now prior to the car completely shutting down there was literally no lights coming on,ENGINE,hyundai,SANTA FE,2014,False,False,0,0,89
i experienced lifter and camshaft failure on my 2020 gmc sierra equipped with the 6 2l v8 engine at approximately 72 000 km gmc denied warranty coverage as my factory warranty had expired only four months earlier the repair cost me nearly 10 000 out of pocket my vehicle has been meticulously maintained with regular oil changes performed at my local gmc dealer every 5 000 km and it has always been fueled with premium gasoline as recommended by the manufacturer the engine failure was sudden and unexpected all lifters and the camshaft were replaced during the repair since the repair i have noticed intermittent rpm fluctuation under light load conditions i am currently working with my dealer to diagnose whether this issue is related to the recent engine repair or a transmission flush that was performed at the same time i am extremely disappointed in gmc s handling of this situation despite this being a well-documented issue with the 6 2l engine i received no goodwill assistance or warranty consideration from gmc while my dealer provided a partial discount on parts and labor i was still responsible for nearly the entire repair cost i hope gmc and nhtsa will review this matter closely as owners should not be facing such expensive failures on well-maintained vehicles with this engine,ENGINE,gmc,SIERRA 1500,2020,False,False,0,0,219
i only have about 45k miles on my car i began to hear a rattling sound while vehicle is idling and more pronounced with the air conditioning on i took it to the ford service department at the dealership where i bought it and was told it was a cracked engine flex plate and it would be a 3000 cost to repair i was extremely surprised at such an expensive fix for such low mileage and looking online i found a ford customer satisfaction program 22n12 for this exact issue i checked and my car was indeed manufactured at the plant in hermosillo mx covered in the program however i was told that i am not covered because it is for the 2 0l engine and not the 1 5l engine it seems to be more than a coincidence that i would have this issue on this model of car from this manufacturing plant there were no warning lights of any kind that went off i have seen that this could have been a major issue had it went unrepaired and caused a major safety issue i am unfortunately being forced to pay for this out of pocket on such a new car but also this issue is clearly not only on the 2 0l vehicles and the recall/customer satisfaction program should be expanded to include 1 5l,ENGINE,ford,FUSION,2020,False,False,0,0,228
the contact owns a 2014 ford escape the contact stated that while driving at an undisclosed speed the vehicle overheated and experienced a coolant leak the vehicle was taken to an independent mechanic where it was diagnosed with a heater hose failure although the heater hose was repaired the failure persisted the manufacturer was not notified of the failure the approximate failure mileage was 170 000,ENGINE,ford,ESCAPE,2014,False,False,0,0,66
jeffrey kia charged and claimed fix the engine recall and told me me that the engine was seizing but failed to let me know the dangers of an engine seizing which caused my accident after blinking engine wouldn t allow me to go above 5mph,ENGINE,kia,SOUL,2014,True,False,1,0,45
my 2017 ford escape has a manufacturer defect the casting was bad on this particular motor causing coolant intrusion which has been confirmed by an authorized ford mechanic this is making my vehicle non drivable,ENGINE,ford,ESCAPE,2017,False,False,0,0,35
the contact owns a 2014 hyundai sonata the contact stated that while the son was driving approximately 40 mph the vehicle suddenly would not accelerate before the engine stalled the vehicle was later towed to the local dealer who diagnosed that the engine had failed and needed to be replaced the vehicle was not yet repaired the manufacturer was notified but no assistance was offered the failure mileage was 130 000,ENGINE,hyundai,SONATA,2014,False,False,0,0,71
the contact owns a 2014 volkswagen passat the contact received a recall notice for the air bags but the parts needed for the recall remedy were still not available the manufacturer exceeded a reasonable amount of time for the recall repair the contact had not experienced a failure the vin and nhtsa campaign number were not available updated 03/07/17,AIR BAGS,volkswagen,PASSAT,2014,False,False,0,0,59
my passenger airbag light is lite when someone is sitting in seat saying the airbag will not activate this still is happening even after taking it to dealer for recall i took it back to them with this concern and they told me that the computer says it didn t happen i have pictures it does it on occasion should i be concerned when the light is on and passenger is in seat also very bad blind spot on driver side /side view mirror and column almost hit several people there should be a blind spot warning i shared concerns with dealer one of the techs has a 2013 and has the same problem so why wasn t it reported and corrected they did in the rogue,AIR BAGS,nissan,PATHFINDER,2014,False,False,0,0,127
i was stopped - was hit head on by an out of control driver whose car spun around hit my car on driver s side and pushed me into a stone wall damaging the car on the passenger s side also the airbag on my car driver s side deployed and i got second degree burns on my wrists and arms from the airbag and am now being treated at a burn center for second degree burns i had gloves on and the burn went through the gloves putting holes in them this was a terrible crash causing over 11 000 00 damage to my car and i have no idea what my medical bills are i feel this airbag had to be defective it also concerns me that my car was hit head on and on both sides and only the airbag on the driver s side deployed all the airbags in this car must be defective or certainly not working properly,AIR BAGS,honda,ACCORD,2014,True,False,1,0,163
i am reporting a serious safety defect involving a vehicle purchased from on the vehicle was later involved in a collision that resulted in a total loss according to the police report i was not at fault during this crash none of the airbags deployed which indicates a possible defect or prior undisclosed issue with the airbag system the vehicle was sold with a warranty and was represented as safe and road-ready the dealership also provided and managed the full-coverage insurance policy however the total-loss claim has been delayed and obstructed and the dealership has not taken responsibility for ensuring the vehicle s safety or functionality there is significant concern regarding the condition of the vehicle prior to sale records show that byrider cleared the vehicle s computer on july 16 2025 less than a month before purchase this may have erased important diagnostic information including any prior airbag-system faults clearing the computer in this manner raises questions about whether a known issue was hidden or whether mandatory diagnostic data was removed before the sale at the time of purchase i signed an airbag disclosure form in which byrider stated they had no knowledge of any reason why the airbag system would not operate properly and they cannot guarantee that the airbag system will deploy in the event of an accident despite this disclosure the fact that the airbags did not deploy in a crash severe enough to total the vehicle suggests a significant safety defect potential misrepresentation or a failure to comply with federal safety requirements airbag non-deployment in a total-loss collision indicates a system failure that poses a serious risk to consumers information redacted pursuant to the freedom of information act foia 5 u s c 552 b 6,AIR BAGS,hyundai,SONATA,2017,True,False,0,0,291
the contact owns a 2014 chevrolet traverse the contact received notification nhtsa campaign number 23v334000 air bags however the part to do the recall repair was not yet available the contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair the local dealer was notified of the issue and confirmed that the parts were not yet available the manufacturer was notified of the issue the contact had not experienced a failure vin tool confirms part not available,AIR BAGS,chevrolet,TRAVERSE,2014,False,False,0,0,83
the contact owns a 2014 toyota corolla while pulling into a parking space the vehicle accelerated and crashed into a cement brick structure when the brake pedal was depressed the vehicle landed on top of the cement brick structure which caused the front driver side tire to explode the air bags did not deploy the vehicle was towed to the contact s residence where it was not diagnosed or repaired a police report was filed and there were no injuries reported the manufacturer was not made aware of the failure the failure mileage was approximately 12 300 updated 02/12/16,AIR BAGS,toyota,COROLLA,2014,True,False,0,0,99
i received recall notice december 2023 for defect in front passenger seat airbag that could cause the airbag to fail to deploy in the event of a crash i have contacted the dealer several times and have been told each time that there is no remedy yet it has been two years and the risk to passengers in my vehicle has not been remedied fortunately i have not had any collisions but the danger and safety concerns remain and there has been no action by toyota on this serious recall notice the recall notice stills says no remedy and it has not been updated in the past year this is a serious potentially dangerous and life-threatening defect a recall has been issued and yet nothing has been done to remedy the defect for two years what remedies are available to me as a customer will action be taken on this complaint please let me know when i can expect a response,AIR BAGS,toyota,RAV4,2020,False,False,0,0,161
unknown airbags did not deploy when struck by a semi that crossed the median and hit me then pinned me against guardrail that was also damaged/destroyed,AIR BAGS,jeep,CHEROKEE,2017,True,False,6,0,26
we were stopped in traffic and braked and was hit from the rear by a vehicle going between 50-60mph on a freeway and in turn we were pushed into a vehicle in front of us damage resulted in the back front and left side of the vehicle no airbags were deployed powder from the airbags released and filled our vehicle but the airbags never deployed the vehicle was brand new and we had it for two weeks my husband myself and my 3 month old were in the vehicle during the collision,AIR BAGS,jeep,CHEROKEE,2017,True,False,1,0,92
front passenger seat air bag sensor front passenger seat occupancy sensor front passenger seat airbag computer red air bag warning light yellow passenger airbag on/off light seat belt warning and chime air bag disabled warning intermittently comes on specifically air bag warning red light occurs and yellow pass airbag active light will indicate passenger air bag inactive/off sometimes for days then ok whether passenger seat is occupied or not sometimes moving the seat up and back will reset this warning when front pass seat empty or with weight as light as 2 pounds on the seat seat belt warning light and chime comes on when speed exceeds 5 mph sometimes this alarm can be reset by sharply striking seat sometimes not and trip must be completed with the seat belt buckled the seat belt issue and airbag light has been happening for about 2 years getting more frequent appears recalls airbag issues with forrester 2013 and earlier and after 2015 but not 2014 note front seats are heated,AIR BAGS,subaru,FORESTER,2014,False,False,0,0,168
we got a recall letter stating the air bag part could explode and cause injury or death i contacted my local gm dealer and they said no parts were available i asked for a rental or loaner untill the parts came in they said no i contacted gm and they said no,AIR BAGS,gmc,ACADIA,2014,False,False,0,0,52
in 2018 my 2014 chrysler/jeep grand cherokee dashboard material had started to dislodge from the dash i reached out to jeep and they denied anything was wrong with the dash on their end and it was my fault for improper care of the car i found this to be in contrast with research online of a large amount of complaints for the same model as mine suffering the same dashboard glue issues in december of 2019 i received a notice from jeep that they would be replacing the dashboard so in january of 2020 i dropped my car off at the local dealership joey accardi after not hearing from them i sent an email on february 12 2020 requesting an update they advised they submitted a request for approval of the replacement to jeep and were waiting to hear back i picked up my vehicle as they could not provide a replacement timeline after waiting several months i reached out to jeep customer care reference 75788102 and they advised they attempted to reach out to the dealership for an update with no response after getting a response several days later they advised it was ordered and should arrive shortly after waiting to hear back through the rest of 2020 i reached out again in february of 2021 to jeep customer care reference 78420942 and they escalated my issue to someone who called the dealership and was told it would arrive in may of 2021 they closed my case on february 5th without any further help or confirmation of receipt of part i reached out again today september 9th and received no help or any indication of replacement timeline it has now been 3 years since i brought this to jeeps attention and 22 months since they authorized replacement my concern now is the dashboard material has dislodged two of my ac vents and has folded over where my airbag would deploy potentially causing harm or failure if the airbag were to attempt to deploy this is clearly an issue with this year and model jeep and they aren t remedying it potentially putting people in danger,AIR BAGS,jeep,GRAND CHEROKEE,2014,False,False,0,0,356
this safety recall relate to airbag on front passenger seat may not deploy due to an accident im really afraid the risk it have when invole in an accident i try to call dealer to ask for repair but they say just wait because the remedy is not available my car is on year 2020 but they still have not the part to get it fix yet this is the priority safety matter,AIR BAGS,toyota,RAV4,2020,False,False,0,0,73
the contact owns a 2017 chevrolet traverse the contact received notification of nhtsa campaign number 23v334000 air bags however the part to do the recall repair was not yet available the local dealer was made aware of the issue and confirmed that parts were not yet available the contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair the manufacturer was made aware of the issue the contact had not experienced a failure vin tool confirms parts not available,AIR BAGS,chevrolet,TRAVERSE,2017,False,False,0,0,85
while traveling around 40 mph on a roadway another vehicle ran a stop sign approximately 2 feet in front of my vehicle this vehicle came onto the roadway from a side road at a sustained speed with no braking i swerved to avoid impact and went over an embankment the vehicle sustained extensive damage to the front and underneath it is a total loss the airbags did not deploy during the accident there were also serious injuries to the driver and passenger the driver sustained a broken neck in 4 places the passenger sustained massive hematomas a fractured arm and 7 fractured ribs in the chest and separated sternum there were no warning lights or messages displayed an inspection has not been performed on the airbag system the vehicle is currently located at the insurance company s salvage yard,AIR BAGS,toyota,RAV4,2017,True,False,2,0,139
on the passenger side the airbag light came on and it won t go off i m the only one that drives my car i don t drive that much the only time i drive is when i m going grocery shopping in morning s and on weekends running a few errands in the morning s time i only had this car for five years and a half,AIR BAGS,honda,CR-V,2014,False,False,0,0,68
on a 2 lane rural road our front hit the side of another vehicle that pulled out in front of us the airbags did not deploy my speed was between 30-40 mph at point of impact,AIR BAGS,ram,1500,2017,True,False,2,0,36
the contact owns a 2014 dodge charger the contact received notification of the nhtsa campaign number 19v018000 air bags the contact stated that the air bag housing had started to crack on the passenger s side dashboard the dealer was notified of the failure and the contact was scheduled an appointment however the contact was informed that the appointment needed to be rescheduled the contact stated that there was no warning light illuminated however there was an audible ding the vehicle was not diagnosed or repaired the manufacturer was notified of the failure and the contact was awaiting a callback the failure mileage was approximately 105 000,AIR BAGS,dodge,CHARGER,2014,False,False,0,0,107
i was in an accident in this vehicle and the air bags did not deploy,AIR BAGS,jeep,GRAND CHEROKEE,2014,True,False,1,0,15
yes got into a really bad car accident and the airbags did not deploy only ones that deployed were the side ones on the driver and passenger doors,AIR BAGS,nissan,ROGUE,2014,True,False,4,0,28
i received a recall notice for the takata sdi driver frontal airbag in april 2016 i have been in contact with volkswagon several times over the last year and am always told that the parts are not available the information on your website indicates the seriousness of the defect and am concerned about my safety should i have a car accident i understand the recall is massive as i understand the problem is if the airbag deflates it could cause serious injury or death i am filing this complaint as i think a year of waiting is in excess and should have some urgency place on have the issued resolved,AIR BAGS,volkswagen,PASSAT,2014,False,False,0,0,110
the contact owned a 2017 nissan sentra while driving approximately 35 mph the contact s vehicle crashed head on into a second vehicle the front driver s side air bag did not immediately deploy the driver sustained multiple injuries including facial and oral injuries internal organ injuries and multiple fractured lumbar vertebra the vehicle was destroyed and towed the cause of the failure was not determined a police report was filed the manufacturer was notified the local dealer was not notified the failure mileage was 900,AIR BAGS,nissan,SENTRA,2017,True,False,1,0,86
while in motion on a highway during a rainstorm vehicle hydroplaned resulting in a rollover into the median vehicle rolled over 3-4 times none of the airbags deployed driver received broken rib and pain on left side of body anxiety/depression passenger hit head on window frame headache pain to right side under ribs and in back below ribs anxiety/trouble sleeping,AIR BAGS,ram,1500,2014,True,False,2,0,60
takata recall as the takata recall has been ongoing for sometime my family car was officially recalled in february of 2016 - with the results of airbag rupture being serious injury or death to date dec 16 there is not a remedy to this recall i have been told by my local dealership as well as vw corporate that they are working on a solution but are not offering any form of alternate vehicle or compensation/payment relief unfortunately i do not have a choice but to continue using this vehicle in hopes that we do not have an accident or a sudden rupture of the bag i have also looked at the possibility of trading my vehicle in for a different vehicle but i have been told that the dealership cannot sell my vehicle with open recall so they are not willing to take it in on trade also while dealers of other makes have been willing to take the trade the value due to recall has decreased substantially to the point where i would have to pay an outrageous amount to get into another vehicle vw needs to stand behind the vehicles and come up with a safe alternative for their customers,AIR BAGS,volkswagen,PASSAT,2014,False,False,0,0,203
there is a small crack in the dashboard next to the airbag gmc will not repair it at their cost,AIR BAGS,gmc,SIERRA 2500,2014,False,False,0,0,20
the contact owned a 2017 toyota rav4 while driving 45 mph the contact swerved to avoid a deer and his foot slipped off the brake pedal the contact crashed the vehicle into a guardrail the air bags did not deploy the contact s arms and ribs were bruised and his neck snapped back and was swollen medical attention was not received however x-rays were performed the contact planned to schedule an appointment with a doctor a police report was not filed the contact took the vehicle to an independent mechanic who deemed the vehicle destroyed the cause of the failure was not determined the dealer and manufacturer were not notified the failure mileage was 23 000 parts of this document have been redacted to protect personally identifiable information pursuant to the freedom of information act foia 5 u s c 552 b 6,AIR BAGS,toyota,RAV4,2017,True,False,1,0,143
my vehicle was involve in a rear end collision where i was pushed into the car in front of me i have substantial damage to both the front and rear of my car i was stopped at a red light my car crunched like a tin can and is a total loss i hit my head my wrist and my back is hurt my air bags never deployed not one of them i cant send pictures now they are on my phone,AIR BAGS,hyundai,ELANTRA,2014,True,False,1,0,82
the contact owns a 2014 honda accord the contact stated that the vehicle crashed into a deer causing significant damage to the front driver side there were no injuries and a police report was not filed during the incident the front passenger side air bag deployed as intended but the driver side air bag failed to deploy the vehicle was taken to a dealer and repaired but the cause of the failure was not diagnosed the manufacturer was notified the failure mileage was 7 886 updated 03/19/15 updated 04/13/15 updated 12/17/15 updated 9/20/2017,AIR BAGS,honda,ACCORD,2014,True,False,0,0,93
wipers stopped working during rainstorm while car was moving luckily i was in a parking lot when i happened sounds like motor is working however wipers have not moved since and remain useless,VISIBILITY/WIPER,chevrolet,EQUINOX,2014,False,False,0,0,33
i have now replaced my windshield a second time in a 30-day period of time i had my windshield break while i was driving down the road and did not see anything hit the windshield before this happened as soon as i got it replaced 3 days past and i woke up one morning to see that my windshield was broken again nothing hit the windshield either time and it just sporadically cracked i m dreading having to pay for the third replacement,VISIBILITY/WIPER,subaru,FORESTER,2017,False,False,0,0,83
the driver-side visor in my 2020 jeep wrangler unlimited jl which has been repaired previously continues to fall out of its bracket this presents a significant safety risk while driving in bright conditions when the visor is unavailable to block/screen sunlight,VISIBILITY/WIPER,jeep,WRANGLER,2020,False,False,0,0,41
sun visor on the driver s side is broke had the car 2 years barely ever pulled it down only when there was a lot of sun in my eyes and i couldn t see found out on line there have been numerous complaints about this on 2014 models people keep having problems with them breaking unexpectedly there is no recall,VISIBILITY/WIPER,nissan,PATHFINDER,2014,False,False,0,0,61
several times when the rear camera just doesn t work - no particular reason but it s just out it usually resumes normal operation after shutting off the car and restarting but sometimes i ve had to shutdown and restart more than once see picture from most recent issue the emergency breaking system particularly when moving in reverse has engaged unexpectedly numerous times without warning and without any danger or obstructions in the way of my car this has happened in my driveway well before the sidewalk and when there have been no people are animals anywhere nearby this has also happened at other times and places beyond my driveway and i ve had the emergency breaking system engaged while in drive and stopped at a stop light there have been other unusual electrical issues where that aren t necessarily safety related but might indicate a broader electrical issue for example the radio often doesn t work or respond to commands to change channels volume etc,VISIBILITY/WIPER,ford,EXPLORER,2020,False,False,0,0,166
rear window shattered on 2017 ford explorer car was sitting in a closed garage 10pm temp was 40 degrees car had been driven one hour prior to get gas and no issues i had just cleaned the rear window with a window washer prior,VISIBILITY/WIPER,ford,EXPLORER,2017,False,False,0,0,44
my windshield wipers work on the low functions but have not worked on the fast speed for as long as i have had my vehicle i have contacted toyota and they stated my vehicle was not affected by the recall for the short in the windshield wiper switch this causes a visibility issue when driving in rain the wipers stop completely when switching from slow to fast speed so i can only use the low speeds which does not help much during storms,VISIBILITY/WIPER,toyota,COROLLA,2014,False,False,0,0,83
wipers were in operation during a heavy thunderstorm and they just stopped visibility was zero and traffic was heavy fuses were checked and that was not the issue,VISIBILITY/WIPER,chevrolet,EQUINOX,2014,False,False,0,0,28
